sid,name,state,pre_avg,post_avg,delta,im_delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta
3301740,Bedford School District,NH,0.9717138710227529,0.7616662166909983,-0.21004765433175454,-0.0416554005473444,365.6666666666667,0.08236101578586136,1.6305830967812194,1.432830519504448,-0.19775257727677142
4220580,South Fayette Township SD,PA,1.1710682198586113,0.9622229746622996,-0.20884524519631176,0.28004800164063204,274.5,0.1784121320249777,1.9223728815147922,1.3881802615714742,-0.534192619943318
2508700,North Andover,MA,0.717739882496314,0.5110539357076922,-0.20668594678862184,0.03753140655824905,360.0,0.07386759581881533,1.332427188422885,1.2816773080567792,-0.05074988036610595
5515810,Waunakee Community School District,WI,0.9539319175806463,0.7477293234812976,-0.2062025940993487,0.08363884060248616,309.1666666666667,0.0,,,
4210590,Garnet Valley SD,PA,0.7179326007817115,0.5120349056779625,-0.205897695103749,0.13729476788738054,370.0,0.1793041926851026,1.4696863500348325,1.4029120458265034,-0.06677430420832908
2617940,Haslett Public Schools,MI,0.7043405633156024,0.5005112432891885,-0.20382932002641385,0.004853755742475763,202.16666666666666,0.0,,,
2732820,Sartell-St. Stephen School District,MN,0.8252195278592983,0.622064696217104,-0.20315483164219428,0.18845997881822485,334.3333333333333,0.0,,,
904620,Trumbull School District,CT,0.8776949136835598,0.6745580042883791,-0.2031369093951807,0.0836744613736542,520.5,0.09560598744567841,1.704300665297595,1.3810595845201052,-0.3232410807774897
3407230,Hillsborough Township Public School District,NJ,0.891173733235126,0.6885741870961598,-0.20259954613896625,-0.020797031856336412,579.3333333333334,0.2938671209540034,1.5142374375427445,1.2967659100205382,-0.21747152752220633
5304230,Lake Washington School District,WA,1.0941857701155933,0.8926275342588883,-0.20155823585670496,0.0906401192851306,2268.1666666666665,0.284685078048248,1.9064377448859322,1.5543818832531915,-0.3520558616327407
2504290,Dover-Sherborn,MA,1.1700522841444412,0.9720155508334953,-0.19803673331094584,-0.044132502423850806,172.83333333333334,0.030478955007256895,,2.1457127085177725,
5300810,Camas School District,WA,0.7005564432968284,0.5034730657022336,-0.19708337759459482,-0.1491756452228955,572.6666666666666,0.07920372723422278,1.5809013457572965,1.4244366437779596,-0.15646470197933682
1741820,Western Springs SD 101,IL,1.1501723383119513,0.9540259646997558,-0.19614637361219556,-0.016246294228905334,160.5,0.0,,,
3904561,Tipp City Exempted Village,OH,0.7516051803731348,0.5577717551648746,-0.1938334252082602,0.04598411706469463,202.33333333333334,0.0,,,
5308040,Snoqualmie Valley School District,WA,0.7431421705436373,0.5515124728417886,-0.19162969770184868,0.15222993279913855,547.6666666666666,0.07480847228481298,1.2055334595116523,1.2075204620487479,0.0019870025370956057
2723430,New Prague Area Schools,MN,0.7737112221242143,0.5827207687722041,-0.19099045335201015,,311.1666666666667,0.0,,,
3904943,Lexington Local,OH,0.7473763488468567,0.5568136531454791,-0.19056269570137752,0.35960595920466015,189.0,0.0,,,
2626130,Novi Community School District,MI,1.0438064189881768,0.8539166500517601,-0.18988976893641674,0.029392418626904004,530.8333333333334,0.45629699248120303,1.5899726929990374,1.3890289559639368,-0.2009437370351006
1302220,Forsyth County,GA,0.8485655969144447,0.6590752745739626,-0.18949032234048202,0.005838649367365223,3816.6666666666665,0.2202862879720189,1.8566749960891293,1.470918349406899,-0.3857566466822304
2634260,Troy School District,MI,0.936858733912326,0.7499615317085817,-0.18689720220374428,0.0237815424616048,1002.0,0.3577755905511811,1.791960188581787,1.448449216992843,-0.34351097158894417
1808970,Plainfield Community School Corporation,IN,0.8011846106467321,0.6143370400301917,-0.18684757061654034,0.008077119622938889,431.0,0.0,,,
2711670,Minnetonka Public School District,MN,1.0946697216629582,0.9079722048428953,-0.18669751682006286,0.07419000180018276,832.8333333333334,0.058212058212058215,1.7163995917904178,1.7289829543832693,0.012583362592851532
